,0,1,2,3
0,,,Eastern Time *,UTC **
1,1995.0,,,
2,,Vernal Equinox,3/20/95 21:14,3/21/95 2:14
3,,First Third of Spring,4/20/95 19:20,4/21/95 0:20
4,,Mid-Spring,5/6/95 7:24,5/6/95 11:24
5,,Second Third of Spring,5/21/95 18:27,5/21/95 22:27
6,,Summer Solstice,6/21/95 16:34,6/21/95 20:34
7,,First Third of Summer,7/22/95 21:47,7/23/95 1:47
8,,Mid-Summer,8/7/95 12:23,8/7/95 16:23
9,,Second Third of Summer,8/23/95 3:00,8/23/95 7:00
10,,Autumnal Equinox,9/23/95 8:13,9/23/95 12:13
11,,First Third of Autumn,10/23/95 6:54,10/23/95 10:54
12,,Mid-Autumn,11/7/95 5:15,11/7/95 10:15
13,,Second Third of Autumn,11/22/95 4:35,11/22/95 9:35
14,,Winter Solstice,12/22/95 3:17,12/22/95 8:17
15,,,,
16,1996.0,,Eastern Time,UTC
17,,First Third of Winter,1/20/96 19:12,1/21/96 0:12
18,,Mid-Winter,2/4/96 15:10,2/4/96 20:10
19,,Second Third of Winter,2/19/96 11:07,2/19/96 16:07
20,,Vernal Equinox,3/20/96 3:03,3/20/96 8:03
21,,First Third of Spring,4/20/96 1:10,4/20/96 6:10
22,,Mid-Spring,5/5/96 13:13,5/5/96 17:13
23,,Second Third of Spring,5/21/96 0:17,5/21/96 4:17
24,,Summer Solstice,6/20/96 22:24,6/21/96 2:24
25,,First Third of Summer,7/22/96 3:36,7/22/96 7:36
26,,Mid-Summer,8/6/96 18:12,8/6/96 22:12
27,,Second Third of Summer,8/22/96 8:48,8/22/96 12:48
28,,Autumnal Equinox,9/22/96 14:00,9/22/96 18:00
29,,First Third of Autumn,10/22/96 12:42,10/22/96 16:42
30,,Mid-Autumn,11/6/96 11:03,11/6/96 16:03
31,,Second Third of Autumn,11/21/96 10:24,11/21/96 15:24
32,,Winter Solstice,12/21/96 9:06,12/21/96 14:06
33,,,,
34,1997.0,,Eastern Time,UTC
35,,First Third of Winter,1/20/97 1:02,1/20/97 6:02
36,,Mid-Winter,2/3/97 21:00,2/4/97 2:00
37,,Second Third of Winter,2/18/97 16:58,2/18/97 21:58
38,,Vernal Equinox,3/20/97 8:55,3/20/97 13:55
39,,First Third of Spring,4/20/97 7:03,4/20/97 12:03
40,,Mid-Spring,5/5/97 19:07,5/5/97 23:07
41,,Second Third of Spring,5/21/97 6:11,5/21/97 10:11
42,,Summer Solstice,6/21/97 4:20,6/21/97 8:20
43,,First Third of Summer,7/22/97 9:32,7/22/97 13:32
44,,Mid-Summer,8/7/97 0:08,8/7/97 4:08
45,,Second Third of Summer,8/22/97 14:44,8/22/97 18:44
46,,Autumnal Equinox,9/22/97 19:56,9/22/97 23:56
47,,First Third of Autumn,10/22/97 18:39,10/22/97 22:39
48,,Mid-Autumn,11/6/97 17:01,11/6/97 22:01
49,,Second Third of Autumn,11/21/97 16:23,11/21/97 21:23
50,,Winter Solstice,12/21/97 15:07,12/21/97 20:07
51,,,,
52,1998.0,,Eastern Time,UTC
53,,First Third of Winter,1/20/98 7:03,1/20/98 12:03
54,,Mid-Winter,2/4/98 3:01,2/4/98 8:01
55,,Second Third of Winter,2/18/98 22:59,2/19/98 3:59
56,,Vernal Equinox,3/20/98 14:55,3/20/98 19:55
57,,First Third of Spring,4/20/98 12:57,4/20/98 17:57
58,,Mid-Spring,5/6/98 0:59,5/6/98 4:59
59,,Second Third of Spring,5/21/98 12:00,5/21/98 16:00
60,,Summer Solstice,6/21/98 10:03,6/21/98 14:03
61,,First Third of Summer,7/22/98 15:14,7/22/98 19:14
62,,Mid-Summer,8/7/98 5:50,8/7/98 9:50
63,,Second Third of Summer,8/22/98 20:25,8/23/98 0:25
64,,Autumnal Equinox,9/23/98 1:37,9/23/98 5:37
65,,First Third of Autumn,10/23/98 0:23,10/23/98 4:23
66,,Mid-Autumn,11/6/98 22:46,11/7/98 3:46
67,,Second Third of Autumn,11/21/98 22:09,11/22/98 3:09
68,,Winter Solstice,12/21/98 20:56,12/22/98 1:56
69,,,,
70,1999.0,,Eastern Time,UTC
71,,First Third of Winter,1/20/99 12:52,1/20/99 17:52
72,,Mid-Winter,2/4/99 8:51,2/4/99 13:51
73,,Second Third of Winter,2/19/99 4:49,2/19/99 9:49
74,,Vernal Equinox,3/20/99 20:46,3/21/99 1:46
75,,First Third of Spring,4/20/99 18:47,4/20/99 23:47
76,,Mid-Spring,5/6/99 6:47,5/6/99 10:47
77,,Second Third of Spring,5/21/99 17:48,5/21/99 21:48
78,,Summer Solstice,6/21/99 15:49,6/21/99 19:49
79,,First Third of Summer,7/22/99 21:03,7/23/99 1:03
80,,Mid-Summer,8/7/99 11:40,8/7/99 15:40
81,,Second Third of Summer,8/23/99 2:17,8/23/99 6:17
82,,Autumnal Equinox,9/23/99 7:31,9/23/99 11:31
83,,First Third of Autumn,10/23/99 6:15,10/23/99 10:15
84,,Mid-Autumn,11/7/99 4:37,11/7/99 9:37
85,,Second Third of Autumn,11/22/99 3:59,11/22/99 8:59
86,,Winter Solstice,12/22/99 2:44,12/22/99 7:44
87,,,,
88,2000.0,,Eastern Time,UTC
89,,First Third of Winter,1/20/00 18:41,1/20/00 23:41
90,,Mid-Winter,2/4/00 14:39,2/4/00 19:39
91,,Second Third of Winter,2/19/00 10:38,2/19/00 15:38
92,,Vernal Equinox,3/20/00 2:35,3/20/00 7:35
93,,First Third of Spring,4/20/00 0:39,4/20/00 5:39
94,,Mid-Spring,5/5/00 12:41,5/5/00 16:41
95,,Second Third of Spring,5/20/00 23:43,5/21/00 3:43
96,,Summer Solstice,6/20/00 21:48,6/21/00 1:48
97,,First Third of Summer,7/22/00 3:01,7/22/00 7:01
98,,Mid-Summer,8/6/00 17:37,8/6/00 21:37
99,,Second Third of Summer,8/22/00 8:14,8/22/00 12:14
100,,Autumnal Equinox,9/22/00 13:27,9/22/00 17:27
101,,First Third of Autumn,10/22/00 12:10,10/22/00 16:10
102,,Mid-Autumn,11/6/00 10:32,11/6/00 15:32
103,,Second Third of Autumn,11/21/00 9:53,11/21/00 14:53
104,,Winter Solstice,12/21/00 8:37,12/21/00 13:37
105,2001.0,,Eastern Time,UTC
106,,First Third of Winter,1/20/01 0:35,1/20/01 5:35
107,,Mid-Winter,2/3/01 20:34,2/4/01 1:34
108,,Second Third of Winter,2/18/01 16:33,2/18/01 21:33
109,,Vernal Equinox,3/20/01 8:31,3/20/01 13:31
110,,First Third of Spring,4/20/01 6:33,4/20/01 11:33
111,,Mid-Spring,5/5/01 18:34,5/5/01 22:34
112,,Second Third of Spring,5/21/01 5:35,5/21/01 9:35
113,,Summer Solstice,6/21/01 3:38,6/21/01 7:38
114,,First Third of Summer,7/22/01 8:47,7/22/01 12:47
115,,Mid-Summer,8/6/01 23:21,8/7/01 3:21
116,,Second Third of Summer,8/22/01 13:56,8/22/01 17:56
117,,Autumnal Equinox,9/22/01 19:05,9/22/01 23:05
118,,First Third of Autumn,10/22/01 17:50,10/22/01 21:50
119,,Mid-Autumn,11/6/01 16:13,11/6/01 21:13
120,,Second Third of Autumn,11/21/01 15:36,11/21/01 20:36
121,,Winter Solstice,12/21/01 14:22,12/21/01 19:22
122,,,,
123,2002.0,,Eastern Time,UTC
124,,First Third of Winter,1/20/02 6:20,1/20/02 11:20
125,,Mid-Winter,2/4/02 2:19,2/4/02 7:19
126,,Second Third of Winter,2/18/02 22:18,2/19/02 3:18
127,,Vernal Equinox,3/20/02 14:16,3/20/02 19:16
128,,First Third of Spring,4/20/02 12:18,4/20/02 17:18
129,,Mid-Spring,5/6/02 0:20,5/6/02 4:20
130,,Second Third of Spring,5/21/02 11:21,5/21/02 15:21
131,,Summer Solstice,6/21/02 9:24,6/21/02 13:24
132,,First Third of Summer,7/22/02 14:34,7/22/02 18:34
133,,Mid-Summer,8/7/02 5:10,8/7/02 9:10
134,,Second Third of Summer,8/22/02 19:45,8/22/02 23:45
135,,Autumnal Equinox,9/23/02 0:56,9/23/02 4:56
136,,First Third of Autumn,10/22/02 23:42,10/23/02 3:42
137,,Mid-Autumn,11/6/02 22:05,11/7/02 3:05
138,,Second Third of Autumn,11/21/02 21:28,11/22/02 2:28
139,,Winter Solstice,12/21/02 20:15,12/22/02 1:15
140,,,,
141,2003.0,,Eastern Time,UTC
142,,First Third of Winter,1/20/03 12:10,1/20/03 17:10
143,,Mid-Winter,2/4/03 8:07,2/4/03 13:07
144,,Second Third of Winter,2/19/03 4:05,2/19/03 9:05
145,,Vernal Equinox,3/20/03 20:00,3/21/03 1:00
146,,First Third of Spring,4/20/03 18:03,4/20/03 23:03
147,,Mid-Spring,5/6/03 6:05,5/6/03 10:05
148,,Second Third of Spring,5/21/03 17:06,5/21/03 21:06
149,,Summer Solstice,6/21/03 15:10,6/21/03 19:10
150,,First Third of Summer,7/22/03 20:22,7/23/03 0:22
151,,Mid-Summer,8/7/03 10:58,8/7/03 14:58
152,,Second Third of Summer,8/23/03 1:34,8/23/03 5:34
153,,Autumnal Equinox,9/23/03 6:47,9/23/03 10:47
154,,First Third of Autumn,10/23/03 5:32,10/23/03 9:32
155,,Mid-Autumn,11/7/03 3:55,11/7/03 8:55
156,,Second Third of Autumn,11/22/03 3:18,11/22/03 8:18
157,,Winter Solstice,12/22/03 2:04,12/22/03 7:04
158,,,,
159,2004.0,,Eastern Time,UTC
160,,First Third of Winter,1/20/04 17:59,1/20/04 22:59
161,,Mid-Winter,2/4/04 13:56,2/4/04 18:56
162,,Second Third of Winter,2/19/04 9:54,2/19/04 14:54
163,,Vernal Equinox,3/20/04 1:49,3/20/04 6:49
164,,First Third of Spring,4/19/04 23:51,4/20/04 4:51
165,,Mid-Spring,5/5/04 11:53,5/5/04 15:53
166,,Second Third of Spring,5/20/04 22:54,5/21/04 2:54
167,,Summer Solstice,6/20/04 20:57,6/21/04 0:57
168,,First Third of Summer,7/22/04 2:08,7/22/04 6:08
169,,Mid-Summer,8/6/04 16:43,8/6/04 20:43
170,,Second Third of Summer,8/22/04 7:19,8/22/04 11:19
171,,Autumnal Equinox,9/22/04 12:30,9/22/04 16:30
172,,First Third of Autumn,10/22/04 11:14,10/22/04 15:14
173,,Mid-Autumn,11/6/04 9:36,11/6/04 14:36
174,,Second Third of Autumn,11/21/04 8:58,11/21/04 13:58
175,,Winter Solstice,12/21/04 7:42,12/21/04 12:42
176,,,,
177,2005.0,,Eastern Time,UTC
178,,First Third of Winter,1/19/05 23:39,1/20/05 4:39
179,,Mid-Winter,2/3/05 19:38,2/4/05 0:38
180,,Second Third of Winter,2/18/05 15:36,2/18/05 20:36
181,,Vernal Equinox,3/20/05 7:34,3/20/05 12:34
182,,First Third of Spring,4/20/05 5:38,4/20/05 10:38
183,,Mid-Spring,5/5/05 17:40,5/5/05 21:40
184,,Second Third of Spring,5/21/05 4:42,5/21/05 8:42
185,,Summer Solstice,6/21/05 2:46,6/21/05 6:46
186,,First Third of Summer,7/22/05 7:58,7/22/05 11:58
187,,Mid-Summer,8/6/05 22:34,8/7/05 2:34
188,,Second Third of Summer,8/22/05 13:10,8/22/05 17:10
189,,Autumnal Equinox,9/22/05 18:23,9/22/05 22:23
190,,First Third of Autumn,10/22/05 17:07,10/22/05 21:07
191,,Mid-Autumn,11/6/05 15:29,11/6/05 20:29
192,,Second Third of Autumn,11/21/05 14:51,11/21/05 19:51
193,,Winter Solstice,12/21/05 13:35,12/21/05 18:35
194,2006.0,,Eastern Time,UTC
195,,First Third of Winter,1/20/06 5:32,1/20/06 10:32
196,,Mid-Winter,2/4/06 1:30,2/4/06 6:30
197,,Second Third of Winter,2/18/06 21:29,2/19/06 2:29
198,,Vernal Equinox,3/20/06 13:26,3/20/06 18:26
199,,First Third of Spring,4/20/06 12:26,4/20/06 16:26
200,,Mid-Spring,5/5/06 23:26,5/6/06 3:26
201,,Second Third of Spring,5/21/06 10:26,5/21/06 14:26
202,,Summer Solstice,6/21/06 8:26,6/21/06 12:26
203,,First Third of Summer,7/22/06 13:38,7/22/06 17:38
204,,Mid-Summer,8/7/06 4:14,8/7/06 8:14
205,,Second Third of Summer,8/22/06 18:50,8/22/06 22:50
206,,Autumnal Equinox,9/23/06 0:03,9/23/06 4:03
207,,First Third of Autumn,10/22/06 22:49,10/23/06 2:49
208,,Mid-Autumn,11/6/06 21:12,11/7/06 2:12
209,,Second Third of Autumn,11/21/06 20:35,11/22/06 1:35
210,,Winter Solstice,12/21/06 19:22,12/22/06 0:22
211,,,,
212,2007.0,,Eastern Time,UTC
213,,First Third of Winter,1/20/07 11:17,1/20/07 16:17
214,,Mid-Winter,2/4/07 7:14,2/4/07 12:14
215,,Second Third of Winter,2/19/07 3:12,2/19/07 8:12
216,,Vernal Equinox,3/20/07 20:07†,3/21/07 0:07
217,,First Third of Spring,4/20/07 18:06,4/20/07 22:06
218,,Mid-Spring,5/6/07 5:06,5/6/07 9:06
219,,Second Third of Spring,5/21/07 16:06,5/21/07 20:06
220,,Summer Solstice,6/21/07 14:06,6/21/07 18:06
221,,First Third of Summer,7/22/07 19:21,7/22/07 23:21
222,,Mid-Summer,8/7/07 9:58,8/7/07 13:58
223,,Second Third of Summer,8/23/07 0:36,8/23/07 4:36
224,,Autumnal Equinox,9/23/07 5:51,9/23/07 9:51
225,,First Third of Autumn,10/23/07 4:36,10/23/07 8:36
226,,Mid-Autumn,11/7/07 2:59,11/7/07 7:59
227,,Second Third of Autumn,11/22/07 2:22,11/22/07 7:22
228,,Winter Solstice,12/22/07 1:08,12/22/07 6:08
229,,,,
230,2008.0,,Eastern Time,UTC
231,,First Third of Winter,1/20/08 17:01,1/20/08 22:01
232,,Mid-Winter,2/4/08 12:58,2/4/08 17:58
233,,Second Third of Winter,2/19/08 8:54,2/19/08 13:54
234,,Vernal Equinox,3/20/08 1:48,3/20/08 5:48
235,,First Third of Spring,4/19/08 23:51,4/20/08 3:51
236,,Mid-Spring,5/5/08 10:53,5/5/08 14:53
237,,Second Third of Spring,5/20/08 21:55,5/21/08 1:55
238,,Summer Solstice,6/20/08 19:59,6/20/08 23:59
239,,First Third of Summer,7/22/08 1:14,7/22/08 5:14
240,,Mid-Summer,8/6/08 15:51,8/6/08 19:51
241,,Second Third of Summer,8/22/08 6:29,8/22/08 10:29
